date,retweet_count,sum_sentiment,sum_length,avg_sentiment,num_tweets
2/2/20,16,7.33808,7729,0.15288,48
2/3/20,45,11.29429,11524,0.14118,80
2/4/20,25,6.8218,10141,0.11183,61
2/5/20,112,17.69242,16154,0.1824,97
2/6/20,287,20.13901,15101,0.20762,97
2/7/20,21,13.78354,14341,0.13784,100
2/8/20,22,9.66609,10052,0.14871,65
2/9/20,75,11.8327,7217,0.25723,46
2/10/20,34,9.86467,9006,0.18613,53
2/11/20,27,12.16771,12420,0.17138,71
2/12/20,47,9.30221,10890,0.1368,68
2/13/20,6,6.03346,8472,0.1097,55
2/14/20,9,4.65985,4505,0.17259,27
2/15/20,13,2.24158,5107,0.07472,30
2/16/20,47,7.84979,6770,0.17444,45
2/17/20,16,18.51745,8461,0.34292,54
2/18/20,43,10.82862,5518,0.28496,38
2/19/20,331,6.52131,11555,0.10033,65
2/20/20,22,12.63176,11893,0.12632,100
2/21/20,36,25.09194,13142,0.25092,100
2/22/20,193,13.94454,13810,0.13945,100
2/23/20,81,11.09191,15094,0.13527,82
2/24/20,34,22.66492,14607,0.22665,100
2/25/20,264,21.30326,15350,0.21303,100
2/26/20,37,17.94938,10566,0.26396,68
2/27/20,10,8.68384,7715,0.15507,56
2/28/20,67,10.06576,12490,0.11061,91
2/29/20,13,4.36853,6955,0.09928,44
3/1/20,41,3.83097,6082,0.08909,43
3/2/20,111,8.69365,9406,0.14252,61
3/3/20,13,4.26399,7987,0.08702,49
3/4/20,7,5.31633,7586,0.10424,51
3/5/20,2,3.61532,5589,0.08608,42
3/6/20,16,3.88556,6971,0.09251,42
3/7/20,86,4.40667,5160,0.13771,32
3/8/20,5,2.57767,3720,0.09547,27
